Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation,Domain
You're referred a 68yo F for social anxiety disorder and decide to use CBT. You ask the client to identify a thought they had in a recent social situation but they blank an say they cannot identify any thoughts. What option is the best way to proceed?,Refer to their GP for a possible neurological problem,Provide a reference event or a specific experience to help cue possible thoughts,Review the case formulation and diagnosis and gather more information if required,Cease cognitive restructuring as this approach appears unsuitable,Provide her with meditation skills to improve awareness of thoughts,B,Use specific reference events to cue cognitions; scaffold skill.,Intervention
"You see a client who reports for the last 2 months he has experienced a decrease in appetite (has lost 10kg in the last few months), concentration problems, difficulty waking up and sleeping, daytime fatigue, and difficulty making decisions. He said these problems are making it difficult for him to attend work and he's withdrawn from social activities. What diagnosis is most appropriate?",Anorexia,Persistent depressive disorder,Insomnia,Social anxiety disorder,Major depressive disorder,E,"Meets Major Depressive Disorder criteria: duration, symptoms, impairment.",Assessment
"You're referred a 21yo F for possible learning difficulties. He tells you that he struggles with recalling information, especially when the information is presented visually. Which test would be best to assist you in understanding his learning difficulties?",WMS,Processing speed index of the WAIS,Working memory index of the WAIS,GAF,WIAT,A,WMS assesses memory systems including visual—aligns with concern.,Assessment
You want to evaluate the efficacy of a 10 week stress management program for each individual client in the group. You ask each client to record their weekly average level of stress from 1-100. Which option would be the most meaningful way to analyse each client's data?,The average of each score,Plots of progress over time,Linear regression,The frequency of each rating,Factor analysis,B,Plot progress over time gives meaningful within-person change.,Assessment
You're working with a client from Poland. They speak fluent English but sometimes you find it difficult to understand their accent and are concerned about the impact of this on the therapeutic alliance. What should you do?,Give up on the client's accent and recommend they see a Polish psychologist,Focus on agreed goals and wait for the client to raise any issues,Increase your cultural knowledge and express curiosity about their life experiences,Move to a non-verbal type of therapy to reduce the impact of the accent,Learn about cultural values and psychological practices in order to be more culturally appropriate,B,Increase cultural knowledge and be curious/transparent to strengthen alliance.,Communication
A client's negative impression management score is 41. Would this score indicate that they might be trying to present themselves as much worse than what they are?,NO,,,,,A,Low-normal NIM does not indicate exaggeration; so “NO” is correct.,Assessment
"You're referred a family that the GP describes as â€˜overly close', with a focus on an enmeshed relationship between the daughter and mother. The daughter has an eating disorder. How should you best address this relationship between mother and daughter?",Develop insight in the system by facilitating self-understanding in the adolescent,Address family cohesion by strengthening alliances within the family,Promote individualisation by focusing on the expression of rebelliousness in the family,Address the adolescents eating behaviour by focusing on psychoeducation,Encourage adolescent individualisation by defining boundaries in the family,E,Define boundaries/individualisation to reduce enmeshment (structural family therapy).,Intervention
You're asked to complete an assessment of a student so they can access external learning support. The assessment and resulting diagnosis doesn't meet the criteria for the funding. The school tells you the client will struggle without this funding and asks you to reconsider the diagnosis in line with the funding eligibility. What is the most appropriate response?,You amend the diagnosis as per the funding criteria,You should recommend that the principal seeks a second opinion,You arrange for a peer review of the assessment and diagnosis,You offer to reassess the child in 12 months,You explain to the principal the impact of misdiagnosis,E,Explain harm of misdiagnosis; maintain integrity; invite second opinions if needed.,Ethics
"A psychologist sees a client for supportive counselling. After the initial information gathering, the psychologist decides to proceed with a specific intervention. Which option outlines the most important issue for the psychologist to discuss with the client to obtain informed consent?",Information about the client's success rates obtained by the psychologist,The client's obligation to inform psychologist on their ability to attend,Any possible negative outcomes from the recommended treatment,Expectations of the client's behaviour on motivation to change,Number of treatment sessions required for treatment to be successful,C,Potential negative outcomes must be disclosed—central to informed consent.,Ethics
What is the most important component to include in a group stress management program?,Leadership training,Relaxation skills,In vivo exposure,Mandatory self-assessment,Motivational interviewing,B,Relaxation skills are foundational across stress programs.,Intervention
"You administer a WAIS to an 18yo M to see if they're eligible for disability support pension. FSIQ = 68, VCI = 82, PRI = 61. What's the best conclusion?",The PRIS is the best indicator of level of functioning,The VCI is the best indicator of level of functioning,The FSIQ does not support a conclusion of impaired functioning,The results are reflective of diverse cognitive abilities,The results are too variable to draw a conclusion,E,Profile too variable; consider caution interpreting global impairment; seek converging data.,Assessment
You administer a WISC to a 9yo M. After 90 minutes you've only completed half the tests needed. The client is becoming increasingly restless and distracted. What should you do?,Stop after finishing the current subtest and complete at another time within a week,Give the child a 10-minute break and continue with the assessment after,Reschedule the whole assessment for another time when the child may be more focused,Stop the assessment and disregard the results,Abandon the assessment because you can't get enough information from this child,A,Stop after current subtest and complete later within standard retest window to preserve validity.,Assessment
"You work in a team that provides services to families. A colleague tells a family how you assessed them and they are angry that you didn't tell them that directly. After this, you decide as a team that you need a way to prevent miscommunication between the team and the families. What's the best option?",Clearly state during the meeting who will communicate with the family,Not to communicate with families before the team meeting,To ensure all communication with the families is in written form,,,A,Assign a clear point-person to communicate with family.,Communication
"You've seen a client for 4 sessions, but towards the end of the last session you accidentally call the client by the wrong name. How should you manage this error?",Minimise the mistake by blaming poor memory and fatigue,Acknowledge your mistake and apologise,Record the error in your notes for later review during supervision,Continue the session in the hopes the client didn't hear,Acknowledge the countertransference implications and refer the client to a different psychologist,B,Acknowledge and apologize; repairs alliance rupture.,Communication
Which option contains the essential elements of the therapeutic alliance?,The establishment of a collaborative relationship characterised by common goals and understanding,The establishment of a reparative relationship providing a corrective emotional experience,The fostering of mentalisation and mindfulness to affect lasting change,The provision of a meaningful explanation to a client to explain their symptoms,The provision of opportunities to understand repetitive relationship patterns re-enacted in therapy,A,Collaborative relationship with shared goals—the common factor across therapies.,Communication
"You're seeing a 25yo M. Following the end of a long-term relationship he reports thoughts of ending his life. You assesss his suicide risk as high. You want to organise for an urgent psychiatric review at the local hospital emergency department but he refuses, saying he will be fine. What should you do next to manage his risk?",Notify his GP of his current suicide risk,Respect his wishes and follow up the next day,Inform a senior staff member of the risk and the plan,Phone his parents and discuss the concerns and current plan,Escort him to hospital and wait for a psychiatric review,C,"Involve senior/staff and enact duty of care plan (including escort to ED if needed), balancing autonomy and safety.",Ethics
"You're referred an 82yo F who's husband died recently. She's having memory issues, and when you assessed her she could not draw the clock properly and could not read the clock face. What is the most possible diagnosis?",Alzheimer's,Schizophrenia,Bereavement,Panic disorder,Depression,A,Alzheimer’s: visuoconstructive deficits and agnosia/apraxia symptoms (clock drawing).,Assessment
You see a 71yo F for treatment of depression. The client is extremely reminiscent of your own other and you notice that you are reacting emotionally. What option best describes your response is to this client?,Therapist resistance,Therapist ambivalence,Therapist avoidance,Therapist countertransference,Therapist transference,D,Countertransference—therapist’s emotional reactions based on personal history.,Assessment
A male is referred for treatment of chronic pain from a work injury. The man is angry with his treatment by the company and in particular with claims management. The psychologist receives a call from the claims manager informing her that the man has made threats to her saying I know where you live and you better watch out. The claims manager does not want the psychologist to tell the client or for it to be reported at this time. Which is the most appropriate course of action?,Discuss the threat to claim manager with the client at their next session,Provide the claims manager with strategies for managing difficult employees,Advise the claims manager that the threat must be reported to her employer,Invite the claims manager and client to joint sessions to discuss,Comply with the claim managers request and maintain confidentiality,C,Must report to employer/police per safety/duty; cannot collude in nondisclosure.,Ethics
A male is referred for treatment of chronic pain from a work injury. The man is angry with his treatment by the company and in particular with claims management. The psychologist receives a call from the claims manager informing her that the man has made threats to the manager saying I know where you live and you better watch out. The claims manager does not want the psychologist to tell the client or for it to be reported at this time. Which is the most appropriate course of action?,Discuss the threat to claim manager with the client at their next session,Provide the claims manager with strategies for managing difficult employees,Advise the claims manager that the threat must be reported to her employer,Invite the claims manager and client to joint sessions to discuss,Comply with the claim managers request and maintain confidentiality,C,Same duty-to-report rationale.,Ethics
You receive a referral for a 77yo F who's husband died 2 years ago. She's become increasingly withdrawn from her social network and reports feeling very sad and isolated. Her daughter attends sessions with her and notes that she's become increasingly forgetful over the last year. She recently got lost in a local shopping centre where she usually visits. What is the most likely explanation for her symptoms?,Bereavement,Insomnia,Dementia,Major Depressive Disorder,Adjustment Disorder,C,"Dementia: progressive memory issues, getting lost; beyond typical bereavement.",Assessment
"Your colleague Katie has recently lost a close family member and is really struggling to work. Katie says that the world looks grey to her, she's drinking heavily, having trouble getting out of bed and often cancelling appointments at short notice. What is the first thing you should do?",Refer Katie to another psychologist for grief counselling,Respect Katie's ability to improve her own psychological health,Mindfully advise Katie that the accident was not her fault,Offer Katie regular grief counselling sessions,Discuss with Katie her ability to continue practising,E,Discuss ability to continue practicing—fitness to practice/supervision/support.,Ethics
What option is one of the rules a psychologist must follow when making a decision to shred case notes?,Records for children under 18 years must be maintained until they are 25 years old,Psychologist should keep all client records for 10 years,All records should be permanently maintained because they are the client's property,The psychologist can contact clients that they no longer see to ask for permission to destroy their records,Records of children under 18 years must be maintained for at least 7 years,A,Keep child records until age 25 (7 years after 18) per standard retention rules.,Ethics
You see a 42yo F for anxiety following a MVA. She doesn't understand why her GP has referred her and says she is coping well. She's restricted her driving to her local area and relies on her husband to drive anywhere else. What is the most important initial step?,Begin an assessment of the client's difficulties in driving outside her local area,Develop a fear hierarchy relating to driving difficulties,Begin an assessment of the client for PTSD,Explore with the client the reasons for only driving in her local area,Refer the client for a driving assessment by an OT,D,Explore reasons for local-only driving—map avoidance/functional impact.,Assessment
"A client presents with chest pains and is afraid of having a heart attack. There are no medical causes for this but she still believes she has a heart disease and is unhappy that her concerns are not being taken seriously. The chest pains are associated with dizziness, shortness of breath, heart palpitations, and she feels like she's dying during these episodes. She increasingly relies on her partner to accompany her everywhere. What is this most likely to be?",Major Depressive Disorder,Bipolar 1,Panic Disorder,Social Anxiety Disorder,PTSD,C,Panic disorder with panic attacks and avoidance/safety behaviors.,Assessment
You're referred a 5yo M who attends with his parents. At the initial appointment he hides behind his father and doesn't make eye contact. He reaches up to be picked up by his father and the mother scolds him for being a â€˜baby' and his father sighs. What's the first step to engage this family?,Leave the child with the receptionist and engage the parents,Ask the mother why she feels the boy is babyish,Seek to engage with the child independently from the parents,Reassure the parents that the session will be relaxed,Ask the parents about the strengths of the child,E,Ask parents about child’s strengths to build alliance and positive frame.,Communication
You're referred a 35yo M for chronic pain and depression following a workplace injury. He wants to return to work asap. He responds to questions with short answers and does not make any eye contact and regularly misses appointments. You're a female psychologist and he is from an Arabic background. What's the best explanation of his presentation?,His depressed mood is affecting his mental state,His pain is reducing his capacity to engage,His state is influenced by cultural beliefs,His work injury may have affected his comprehension,His motivation to change is low,C,Cultural factors can shape engagement style/eye contact/appointments; explore before pathologizing.,Assessment
A client request you to amend a report as they report some historical information is incorrect. What is the best option?,Amend the report as requested by the client,"Refuse, because modifying the record is unethical",Tell them the psychologist owns the record,Discuss the report with a senior psychologist,Tell them that they must put the request in writing,A,Clients can request amendment or addendum; you consider and document appropriately.,Ethics
What best describes the MSE?,A brief screen of the client's cognitive functioning,A series of questions that assist you in forming a diagnosis,A systematic behavioural observation of the client,A procedure to detect the presence of malingering,A standardised psychological test of psychopathology,C,"Systematic behavioral/mental status observation, not a standardized test.",Assessment
You work at a private practice and through this practice you are also contracted to work for a large organisation. A situation occurs where you feel a sense of obligation towards your employer which is in conflict with your obligations as a contractor to the large organisation. Which factor do you need to consider before determining a course of action?,The ethical issues raised in the current organisation,Your obligations to the organisation,The employment contract with the organisation,Your obligations to your employer,The needs of the employer and the organisation,E,"Needs of both parties, but primarily ethical issues/conflicts of interest before acting.",Ethics
"You see a 24yo M for help with alcohol problems. He tells you that he did not originally think he had a problem, but after two sessions he has set some therapeutic goals. What is the most important next step for you to take in treatment?",Instruct him about the efficacy of different treatment methods,Report back to the GP to enable him to treat any health issues,Ask him to keep a behavioural record of his drinking to reduce resistance,Teach him a number of different strategies to limit his alcohol intake,Increase self-efficacy by sequencing a plan of action together with the client,E,Collaboratively sequence a plan of action to build self-efficacy and structure.,Intervention
"You have continued to work with Bianca after her separation from Ben. They used to both see you for marital therapy. Bianca's lawyer has requested a report for family law proceedings which will decide parental responsibility of Bianca and Ben's children. You agree a fee for the report, but who pays for this?",Ben,Bianca and Ben,The family court,The lawyer,Bianca,E,The requesting party (Bianca via her lawyer) typically pays; ensure fee agreement.,Ethics
"You're referred a 20yo F who reports feeling disinterested and depressed when responding to the needs of her newborn child. Her first child died at birth. She has recently left an abusive relationship but he continues to contact her, and she lives far away from her family and misses their support. What is the most important intervention for this client to increase her capacity to cope as a new mother?",Obtain consent to contact the former partner about his ongoing contact,Obtain consent to contact child protection authorities,Obtain consent to contact her family about providing additional support,Obtain consent to consult her GP about antidepressant medication,Obtain consent to organise a referral to a parenting service,C,Obtain consent to involve family supports (practical/attachment support) to bolster coping.,Intervention
What's the best predictor of treatment gains?,Therapeutic alliance,Environmental factors,Client's motivation,Therapist's approach,Therapist's gender,A,Therapeutic alliance has strongest consistent predictive value.,Assessment
"You see a 9yo M with a history of hyperactivity, impulsivity, and inattention. He was prescribed a psychostimulant medication and the parents are fine with this in the short-term but would prefer alternative long-term solutions. What interventions would be most effective?",Exposure therapy,Relaxation training,Supportive counselling,Parent management training,Interpersonal therapy,D,Parent management training has strong evidence for disruptive/ADHD behaviors.,Intervention
You're referred an 8yo F from spain for a cognitive assessment. The child only speaks limited English which her teacher has expressed concern about. The family travelled to Australia less than a year ago. What would be the most appropriate form of testing to use?,Test of verbal fluency,Measure of adaptive functioning,Test of general cognitive ability,Test of non-verbal reasoning,Test of numeracy and literacy,D,Use non-verbal reasoning tests to minimize language bias.,Assessment
"A psychologist provided relationship counselling five years ago. During treatment, the psychologist administered tests to both clients and wrote a summary of results. The psychologist is contacted by the male client requesting a copy of both test reports to a new psychologist. What's the most appropriate course of action?",Obtain written consent from the male client and request for information from the new psychologist,Obtain consent from the male client and his ex-partner and provide a verbal summary to the new psychologist,Copy the report and provide to the male client as he is entitled to access information regarding his healthcare,Formal request form stating why the results of the new report is required,Obtain written consent from both the male client and ex partner and written request from the psychologist,E,Both parties’ consent needed for each person’s test data; and a written request from the new psychologist.,Ethics
"You're referred a 14yo F. Her parents are concerned that she's in her room for long periods of time, but before she was very socially active. When you see her she reports that's being bullied by a group of girls at school and on social media. She asks you not to tell her parents in case they make it worse. What should you do?",Maintain the girl's confidentiality and don't tell the parents,Don't tell the girls' parents but let the school know about the bullying,Teach the girl coping strategies to deal with the bullying,Encourage the girl to report the perpetrators to the Principal,Tell the girl that her parents must be informed about the bullying,E,Parents should be informed to ensure safety planning; explain limits of confidentiality.,Ethics
You're referred a 16yo M who reports feeling stressed about their upcoming exams and is having difficulty falling sleep. At the initial consult the client refuses to make eye contact and his mum says that he didn't want to attend. What's your priority?,Obtain a detailed developmental history separately from his mother,Administer a battery of clinical questionnaires,Use progressive muscle relaxation to relax and prepare the student,Ask the student what he would like to get out of the consultation,Provide the student with psychoeducation about sleep hygiene,D,Ask the student’s goals to engage and establish collaborative agenda.,Communication
"When working in a rural community, you see a 21yo M for overwhelming anxiety following a violent assault by a neighbour. You have no experience working with victims of crime or clients with potential PTSD but there is no one else nearby who has the relevant experience. What should you do?",Refer the client to a practitioner with experience of treating victims of crime,Research the evidence of PTSD treatment and follow best-practice guidelines,Seek supervision if the client consents to treatment,Provide the client with psychoeducation about PTSD and symptoms,Immediately arrange supervision with someone who has relevant experience to discuss the case and treatment options,C,Seek supervision with consent; provide care within competence while obtaining guidance.,Ethics
"A 4yo M has frequent temper tantrums which are causing his family distress. You've tried multiple approaches which have been unsuccessful. As you're trained in hypnosis , would this be a viable option for this child?",It is not a viable option because of the child's age and maturity,As long as the parents agree and provide consent,It is not a viable option because a child cannot provide informed consent,It's a viable option because you have tried everything else,It's a viable option if the child's intelligence is above average,B,Parents’ informed consent required; but developmental suitability is questionable—accept keyed.,Ethics
You're referred a 34yo F by her GP for psychological assessment and treatment. She experiences neck pain caused by a MVA two years ago and has been unable to work since. You decide to do a PAI - what is the main reason for conducting a PAI?,To accurately formulate the client's presenting problem,To ensure a comprehensive assessment of the client's personality,To determine the validity of the client's disability,To assess for the exaggeration of symptoms via Negative Impressions Scale,To provide an objective assessment for the referring doctor,B,"Comprehensive personality/psychopathology assessment to inform formulation, not to “prove” malingering.",Assessment
You're seeing a 24yo M who's depressed. He says he has weapons at home. What do you do?,"Do not do anything , continue to treat him for depression",Report him to the police,Do a risk assessment re suicide or risk of harm to others and report to the police if you think the risk is high,Ask to see his weapons,End sessions,C,"Risk assess, and if high/imminent, involve police per duty to protect.",Ethics
You're referred a 42yo F for driving-related anxiety following a MVA last year. You decide to use exposure-based therapy. What is the key component of effective exposure therapy for this client?,Diminishing anxiety through imaginal exposure to non-driving cues,Diminishing anxiety through distraction from fear of driving cues,Diminishing anxiety through exposure to fear of driving cues,Acquisition of behavioural activation via diminishing anxiety,Acquisition of relevant driver skills to diminish anxiety,C,Exposure to feared cues (driving situations) with response prevention; not distraction.,Intervention
You're referred a 19yo Aboriginal M with depression and anxiety. He reports that he doesn't have a strong relationship with his mother and father. What option would be the best way to proceed with this information?,Commence cognitive restructuring to change cognitions regarding relationships,"Explore the client's relationship with wider family members, including Aunties",Assess depression and anxiety using a culturally appropriate measure,Assess the presence and history of substance abuse by the client and his family,Determine if the client's estrangement is culturally acceptable,B,Explore wider kinship supports (Aunties/uncles) per cultural context.,Communication
"You see a 35yo F for chronic pain management. She doesn't understand why she's been referred and says that my pain is real, it's not made up or in my head. What is the most important first step in treating this client?",Gather more information to better understand her resistance,Refer her back to the referring GP,Explore her willingness to consider psychological therapy,Evaluate her ability to engage in treatment,Begin behavioural analysis of her pain behaviour,A,Elicit/understand resistance and her model of pain before pushing techniques.,Communication
You're seeing a 32yo M for treatment of depression and chronic pain. He reports that he's been treated by numerous psychologists previously with no success and he's sceptical about the efficacy of treatment. You want to formally monitor his progress in therapy using a measure of client perception of progress in therapy. What would be the best option?,ORS,K10,PHQ9,PHQ9,BDI,A,ORS is a brief session-by-session progress measure of perceived functioning.,Assessment
A psychologist has just completed the intake assessment of a client with chronic pain. The psychologist learns the client had treatment with another psychologist who sold the client naturopathic remedies. The client advises that the psychologist said this is the best remedy for chronic pain. What course of action should the psychologist take?,Discuss with the client the evidence of psychological interventions in chronic pain,Obtain consent to contact the other psychologist,Make a report to AHPRA,Discuss with the client if natural remedies were of assistance,Research the efficacy for suggested remedies,C,Mandatory report if concerns about unprofessional conduct harming clients; at least seek guidance.,Ethics
"You're referred a 16yo M for behavioural issues at school and home. The interviews with his parents and teachers present inconsistent information. You decide a behavioural observation will be appropriate , what is the most important thing to keep in mind for a reliable observation?",Organise for a teacher who knows the client well to observe his behaviour,"Record the frequency, intensity, and duration of a small number of behaviours",Compare the client's behaviour and the behaviour of another child at the same time,Record as many features of the client's behaviour in multiple environments,Ensure the client is not aware his behaviour is being observed,B,"Record frequency, intensity, duration of a few target behaviors across settings.",Assessment
"You're seeing a 54yo F. You administer the DASS and she scores in the moderate range for depression, anxiety, and stress. After 6 sessions she advises you that she feels better and wants your advice about whether to terminate treatment. What should you do before making a recommendation?",Check with the client whether there are any other reasons for wanting to cease treatment,Administer a therapeutic alliance scale to determine whether there has been a therapeutic alliance breach,Readminister the DASS to assess whether the client has made progress across the 6 consultations,Recommend to the client that she returns to her referrer for a review in functioning,Advise the client that she has 4 more sessions left on Medicare,C,Re-administer DASS to corroborate perceived progress before deciding.,Assessment
Which of the following are recognised problems specified in IPT treatment?,"Attachment styles, interpersonal disputes, work transitions, social skills","Trauma history, interpersonal disputes, role transitions, behavioural activation","Grief and loss, interpersonal disputes, role transitions, interpersonal sensitivity",,,C,"IPT focuses on grief, interpersonal disputes, role transitions, interpersonal deficits/sensitivity.",Intervention
You're referred a 35yo M for treatment of PTSD. He reports significant levels of anxiety and intrusive memories of being sexually assaulted. You decide to adopt a trauma focused CBT approach. What strategy is likely to be the most effective in treating this client?,Progressive muscle relaxation with imaginal exposure,Imaginal exposure without cognitive restructuring,Progressive muscle relaxation with in vivo exposure,Progressive muscle relaxation and cognitive restructuring,Imaginal exposure and cognitive restructuring,E,Imaginal exposure + cognitive restructuring yields best outcomes.,Intervention
You administer a WISC-V to a 10yo F for an investigation of a specific learning disorder. What information should be contained in the behavoural observations of the report?,How much the child enjoyed the testing,The child's behaviour in the classroom,Significant patterns of behaviour when tested,The child's need for encouragement to continue,The child's behaviour compared to peers,C,"Significant patterns during testing (effort, attention, approach) inform interpretation.",Assessment
You have a client who is an electrician. He offers to do some electrical work that you need in return for extra sessions. What is the most important consideration?,Whether the client would agree to a long-term payment plan,The risk of the client being exploited in this arrangement,Whether the client would benefit from continuing treatment,How to arrange a fair and appropriate bartering agreement,Whether antidepressant medication would be an alternative,B,Risk of exploitation/dual relationship is primary concern.,Ethics
"You recently moved to another private practice. At the previous practice, you had several child/adolescent clients who have experienced significant loss/trauma. The previous practice will not allow you to transfer any clients with you. What is the most important factor for you to consider in this situation?",The client's right to choose their own therapist,The reputation of the previous practice,The best interests of each individual client,The safety of client's in finishing therapy early,The previous practice's policy on restriction of trade,C,Best interests of each client guide any transition decision.,Ethics
"You're working in a youth detention centre with a number of Aboriginal and Torres Strait Islanders who are young adolescents. There is data that shows that ATSI men are more likely to be imprisoned for an offence if they abuse drugs or alcohol, fail to complete Year 12, or are unemployed. What is the most important factor to consider when designing an effective intervention program?",The willingness of the young men's families to be involved in the program,The research on the clinical efficacy of relevant treatment programs,The funds that area available for the development of specialised programs,The ability of the centre to commence a substance abuse treatment program,The ability of the centre to facilitate access to an education program,B,"Evidence for effective programs should drive design (education access also key, but item keys research basis).",Intervention
"You complete the extended version of the SDQ with a 9yo M for assessment of behavioural problems. This includes the supplemental impact scale. You want to consider the impact of the child's problems on social functioning , which information from the extended SDQ can you use to explore this?",Information from the extended SDQ total scores,Information from the impact supplement,Information from the negative emotions scale,Information from the prosocial behaviour scales,Information from the peer relationships scale,B,Use impact supplement items (distress/impairment across domains).,Assessment
A single mother of 3 teenagers presents for assistance with parenting the teenagers. She reports that she struggles to communicate with them without yelling and screaming. You decide on a family systems approach and suggest that she brings her children. What will you be focusing on in the family session?,Who holds the power in the family group,The motivation of each member to improve communication,Who the psychologist can work with to improve relationships,The patterns of behaviour within the system,The presence of psychopathology in each member,D,Map patterns of interaction within the system; target communication cycles.,Intervention
"You're referred a 21yo university student to assess as they have reported a need of extended time in exams. The student is unhappy with your report and contacts you about this, complaining that it may affect his future employment prospects. You decide to discuss this at a feedback session. What option is the best way to make sure that the feedback session is productive?",Plan to keep the feedback session short and clear,Re-write the report in a simple language,Refer the client to a colleague for a feedback session,Anticipate questions that may be asked by the student,Offer to assist the student to prepare for future exams,D,Anticipate questions and prepare clear rationales to reduce defensiveness and improve dialogue.,Communication
"A psychologist works in two clinics, and some client's request to see at the second clinic where she works. What's the most appropriate option for keeping client notes in this situation?",Give the files to clients to take to the other clinic,Maintain separate files in each clinic where the client is seen,Telling the clients you can only see them in one clinic,The psychologist to take all the notes to the other clinic,Type notes in a password protected laptop that can be moved between clinics,B,"Separate files per clinic to maintain records with the service where seen, unless an integrated secure system exists.",Ethics
What is the main strength of a meta-analysis?,They allow the calculation of goal attainment to inform treatment choice,They allow for synthesising findings of independent studies,They represent more valid methods than those derived from single studies,They provide a valid benchmark for comparing the efficacy of interventions,They're powerful studies due to their large number of participants,D,Synthesizes independent studies to provide more powerful effect estimates—guides practice.,Assessment
You test a client with the WAIS and they receive a score of 78 on perceptual reasoning (PRI) and 100 on verbal comprehension (VCI). What can you interpret from this?,You need to reassess with a different cognitive test,The Crystalised Intelligence is superior,The Fluid Intelligence is superior,You can't compare indexes because they are too variable,The results are not valid,B,Crystallized (VCI) > Fluid (PRI); note relative strength verbally.,Assessment
Which statement best represents the research on outcomes of different psychological interventions?,There is little evidence to support any one form of therapy being superior to other forms,CBT is inferior to most other forms of therapy for anxiety,Interpersonal psychotherapy is superior to most other forms of therapy for depression,Solution-focused therapy is inferior to most other forms of therapy when dealing with existential issues,Psychodynamic therapy is superior to most other forms of therapy for OCD,D,"Broadly, no one therapy dominates across disorders; evidence tends to show similar outcomes with some disorder-specific leads (accept keyed statement of little overall superiority).",Assessment
You're referred a 43yo M who is driven to his first appointment. He discloses that he was involved in a serious MVA 6 months ago where he had serious injuries and his friend died. He has been unable to drive since and reports intrusive memories and frequent nightmares about the incident. You diagnose him with PTSD and decide on a trauma focused CBT approach. What is the most appropriate next step?,Counsel him about his reliance on other's driving him as an avoidance mechanism,Imaginal exposure to his experience of the trauma,Grief counselling over the loss of his friend,Psychoeducation linking his trauma history to his current problems,Teaching him relaxation strategies to assist with the return to driving s,D,Trauma psychoeducation linking symptoms with event precedes deeper exposure work.,Intervention
You see a 32yo F for treatment of depression. Her K10 is 35. She has 3 young children and feels guilty that she is not being a good mother. What's the most important initial step in treatment?,Clarify her supports to help with parenting,Identify the difficulties of being a mother with young children,Assess her need for antidepressant medication,Listen and validate her feelings and concerns,Assess her capacity to care for her children,D,Validate and listen first to establish safety and alliance.,Communication
What is the best explanation of the requirement for CPD?,To convey to the community that psychologists are scientist practitioners,To maintain and improve the quality of psychological services,To comply with Medicare and to ensure accountability of service provision,To ensure that psychologist practice is continually peer reviewed,To ensure that psychologists delivery the most popular services,B,To maintain/improve quality of services (competence).,Ethics
"You're referred a 19yo M. In the waiting room he is glancing around the room frequently, talking to himself, and he goes to the bathroom multiple times. During the intake assessment his speech is unintelligible, with flat and restricted affect, and it's difficult to follow his thought patterns. He reports that he prefers to stay inside all day playing computer games. What is the most likely explanation for his presentation?",Substance use disorder,Autism spectrum disorder,Social anxiety disorder,Schizophrenia,Antisocial personality disorder,D,"Schizophrenia features: negative symptoms, disorganized thought/behavior.",Assessment
"You're referred a client for treatment of anxiety symptoms. This client was successfully treated for depression with hypnosis in the past, and you decided to use hypnosis again as you have been trained in this. What's the most important thing to take into account?",The vulnerability of clients under hypnosis as their consciousness is changed,The client's age and gender,The client's perception of the effectiveness of hypnosis,,,A,Altered consciousness increases vulnerability; requires strong boundaries/informed consent.,Ethics
"You receive a call from a client that you previously saw for treatment of depression. He says his relationship has ended and he's lost his job. He's slurring his words and saying he's hopeless and just wants to disappear, but tells you I'll be okay and thank you for everything you have done for me. What should you do next?",Advise his GP,Advise him to call a telephone support line,Continue phone contact to assess his risk,Call the ambulance service to attend to the client,Offer him your next available appointment,D,Call ambulance for welfare check due to acute risk signals and impaired judgment.,Ethics
What's the most important application of a single subject design?,It's relevant to the evaluation of CBT,It allows for the evaluation of interventions without matched samples,It's not as scientifically rigorous as group research methodologies,It's a valid and reliable assessment of the effects of treatment,It's similar to a case study and involves the same in-depth analysis,B,Enables evaluation of interventions without matched samples; strong for individual outcomes.,Assessment
"You administer the WISC to a 9yo M. During the block design subtest, the child tries to match the sides of the blocks to your blocks. How should you respond to that?",Mark the client's performance as an error,Explain that only the tops of the blocks need to match the examiners,Give them the sample items without any comments,Give the client more time to match all faces of the blocks to the examiner,Stop immediately,B,Clarify tops-only rule; standard administration guidelines.,Assessment
"You're referred a 25yo M who is reporting symptoms that are interfering with her ability to work. These include irritability, disturbed sleep, and symptoms of distress. She reports that these symptoms began 2 weeks ago after she was mugged when visiting a friend. She reports the experience was very distressing and she gets distressed when thinking about it. What do her symptoms suggest?",Malingering,GAD,Adjustment disorder with depressive symptoms,Acute stress disorder / reaction,Acute stress disorder / reaction,E,Within a month with dissociation/intrusion/arousal → Acute Stress Disorder.,Assessment
Your friend asks for advise about their 22yo son who has dropped out of uni and is staying in his room for long periods at a time. A few weeks ago he pushed his mum down a short flight of stairs. His mum wasn't hurt but is now frightened of him and she wants him to see a psychologist urgently. What is the most appropriate advice for you to give to your friend?,Advise your friend to ask the son to move out until his behaviour improves,Contact another psychologist for an appointment,Advise your friend to speak to the police,Advise your friend to join a parenting group,Advise your friend to call an ambulance to seek help,B,Contact another psychologist for urgent appointment; facilitate safe pathway (police if imminent risk).,Ethics
"You're seeing a 15yo M for treatment of anxiety. After his first session, his mother asks you to also see his 10yo sister. She explains that their father's mother had schizophrenia and suicided when he was a teenager and that the father is still struggling with this. Who is the primary client?",The 15yo M,The family,The 15yo M and his 10yo sister,The mother,The father,A,The identified 15yo; keep boundaries if others also seek care.,Ethics
